Parameter      | Pump        | Autotune    | Days Missing
---------------------------------------------------------
ISF [mg/dL/U]  | 57.600      | 50.208      |
Carb Ratio[g/U]| 6.000       | 5.455       |
  00:00        | 0.650       | 0.679       | 1           
  01:00        |             | 0.684       | 1           
  02:00        | 0.800       | 0.831       | 1           
  03:00        |             | 0.815       | 1           
  04:00        |             | 0.840       | 1           
  05:00        |             | 0.818       | 1           
  06:00        |             | 0.855       | 0           
  07:00        |             | 0.817       | 2           
  08:00        | 0.750       | 0.803       | 2           
  09:00        |             | 0.773       | 3           
  10:00        |             | 0.761       | 4           
  11:00        |             | 0.761       | 4           
  12:00        |             | 0.761       | 4           
  13:00        |             | 0.761       | 4           
  14:00        |             | 0.761       | 4           
  15:00        |             | 0.761       | 4           
  16:00        |             | 0.761       | 4           
  17:00        |             | 0.761       | 4           
  18:00        |             | 0.761       | 4           
  19:00        |             | 0.761       | 3           
  20:00        |             | 0.737       | 2           
  21:00        | 0.700       | 0.690       | 2           
  22:00        |             | 0.675       | 1           
  23:00        |             | 0.683       | 0           
